subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.459459459459459
HAEB38,1,1,0.9494046977143352,0.461538461538462
HAEB38,0,0,-1.0,0.439024390243902
HAEB38,1,1,0.9358603282986642,0.452380952380952
HAEB38,0,1,0.9999557027973094,0.441860465116279
HAEB38,1,1,0.9104639315205496,0.444444444444444
HAEB38,0,0,-1.0,0.434782608695652
HAEB38,0,0,-1.0,0.4375
HAEB38,0,0,-1.0,0.448979591836735
HAEB38,1,1,1.0,0.46
HAEB38,0,0,-1.0,0.450980392156863
HAEB38,0,0,-1.0,0.444444444444444
HAEB38,0,0,-1.0,0.446428571428571
HAEB38,0,0,-1.0,0.456140350877193
HAEB38,1,1,0.9969115592281595,0.46551724137931
HAEB38,0,0,-1.0,0.457627118644068
HAEB38,0,0,-1.0,0.466666666666667
HAEB38,0,0,-1.0,0.475409836065574
HAEB38,1,1,0.999995915012848,0.484375
HAEB38,1,1,0.8060769270740809,0.476923076923077
HAEB38,1,1,0.5777182068547133,0.463768115942029
HAEB38,0,0,-1.0,0.450704225352113
HAEB38,1,0,-1.0,0.44
HAEB38,0,0,-1.0,0.428571428571429
HAEB38,1,1,0.9610142546260364,0.435897435897436
HAEB38,0,0,-1.0,0.4375
HAEB38,0,0,-1.0,0.444444444444444
HAEB38,0,0,-1.0,0.451219512195122
HAEB38,1,1,0.8439858333858514,0.457831325301205
HAEB38,0,0,-1.0,0.436781609195402
HAEB38,0,0,-1.0,0.428571428571429
HAEB38,1,1,0.998591088990764,0.448979591836735
HAEB38,0,0,-1.0,0.450980392156863
HAEB38,0,0,-1.0,0.456310679611651
HAEB38,0,0,-1.0,0.461538461538462
HAEB38,0,0,-1.0,0.457943925233645
HAEB38,1,0,-1.0,0.458715596330275
HAEB38,0,0,-1.0,0.454545454545455
HAEB38,1,1,0.1474167953173878,0.464285714285714
HAEB38,0,0,-1.0,0.460176991150443
HAEB38,0,0,-1.0,0.452991452991453
HAEB38,0,0,-1.0,0.457627118644068
HAEB38,0,0,-1.0,0.458333333333333
HAEB38,1,1,0.157364184098861,0.462809917355372
HAEB38,0,0,-1.0,0.441860465116279
HAEB38,0,0,-1.0,0.446969696969697
HAEB38,0,0,-1.0,0.451127819548872
HAEB38,0,0,-1.0,0.459259259259259
HAEB38,0,0,-1.0,0.463235294117647
HAEB38,0,0,-1.0,0.463768115942029
HAEB38,0,0,-1.0,0.467625899280576
HAEB38,1,0,-1.0,0.464788732394366
HAEB38,0,0,-1.0,0.461538461538462
HAEB38,1,0,-1.0,0.465277777777778
HAEB38,1,1,0.9999797383929272,0.456375838926175
HAEB38,0,0,-1.0,0.434782608695652
HAEB38,0,0,-1.0,0.438271604938272
HAEB38,0,0,-1.0,0.436363636363636
HAEB38,0,0,-1.0,0.435294117647059
HAEB38,0,0,-1.0,0.43859649122807
HAEB38,1,0,-1.0,0.441860465116279
HAEB38,0,0,-1.0,0.436781609195402
HAEB38,0,0,-1.0,0.44
HAEB38,0,0,-1.0,0.443181818181818
HAEB38,0,0,-1.0,0.446327683615819
HAEB38,0,0,-1.0,0.452513966480447
HAEB38,0,0,-1.0,0.455555555555556
HAEB38,0,0,-1.0,0.454054054054054
HAEB38,0,0,-1.0,0.454545454545455
HAEB38,0,0,-1.0,0.450777202072539
HAEB38,1,1,0.9976731710915072,0.448979591836735
HAEB38,0,0,-1.0,0.444444444444444
HAEB38,0,0,-1.0,0.445
